Blog	months	soon	does	put	times	coming	hours	same	nice	family	once	able	yes	yet	whole	live	give	try	man	bad	morning	wanted	full	without	job	play	friend	someone	least	ago	told	making	together	doesn	believe	far	past	during	might	free	music	makes	point	later	keep	nbsp	already	beautiful	its	stop	until	quite	saw	different	kids	stuff	thanks	room	remember	read	crazy	watch	side	girl	almost	picture	kind	person	call	heart	weeks	mean	taking	won	guess	name	nothing	mind	called	working	small	amazing	change	real	used	head	hear	decided	happened	wait	book	sometimes	hand	set	fact	check	asked	three	children	must	story	wasn	run	isn	behind	leave	open	car	seen	seems	summer	wrong	couple	video	month	pictures	lost	goes	else	idea	god	use	high	trip	baby	stay	amp	half	excited	face	talk	knew	mom	song	boy	short	gone	reading	looks	top	cool	thinking	living	yesterday	playing	party	weekend	interesting	felt	late	moment	spent	money	watching	second	along	haven	probably	saying	lots	turned	hour	funny	comes	anyway	christmas	care	wish	under	instead	couldn	thank	water	words	special	gave	fall	enjoy	rest	running	birthday	white	waiting	ones	feeling	ended	wonder	turn	food	black	talking	awesome	city	heard	happen	between	anyone	eyes	gets	hot	busy	learn	guy	ask	girls	inside	loved	boys	favorite	write	tried	whatever	group	especially	please	needed	perfect	close	however	dinner	sweet	cold	moved	sunday	move	reason	ready	knows	walk	break	early	dad	says	tonight	tomorrow	list	rather	possible	seeing	cute	fast	four	young	true	taken	wonderful	hands	either	outside	miss	definitely	super	others	loves	sleep	moving	parents	sorry	hair	saturday	town	bring	means	important	class	easy	sad	age	front	line	com	bed	matter	guys	totally	spend	looked	country	worked	body	game	seem	less	chance	share	often	phone	writing	hit	wants	experience	huge	worth	update	yeah	lives	news	bought	buy	woman	due	usually	park	although	light	played	movie	sound	needs	self	listen	child	sister	starting	minutes	project	church	band	enjoyed	eat	kid	mother	etc	event	women	seriously	company	become	american	cause	met	across	entire	future	imagine	number	plan	red	several	mine	against	walking	wouldn	five	facebook	feels	meet	visit	sitting	case	friday	shows	forward	hate	air	completely	rock	single	given	word	yourself	ride	final	exactly	fine	sort	longer	quick	door	books	problem	men	deal	joy	date	pick	sense	kept	store	understand	center	random	table	large	photo	album	cannot	lol	takes	dream	sounds	finished	stand	glad	sit	alone	business	state	piece	minute	realized	using	http	father	cut	blue	hopefully	stuck	proud	version	okay	april	weather	walked	giving	works	songs	support	death	spring	within	based	street	simple	july	wall	brought	note	upon	dance	answer	forget	serious	brother	ways	passed	paper	evening	telling	afternoon	figure	wrote	leaving	finish	middle	recently	sign	dark	hey	gonna	meant	beach	forever	listening	quickly	complete	hoping	building	headed	normal	pay	road	view	following	watched	lately	born	turns	learned	camera	august	beginning	happens	team	information	sent	stage	lady	strong	march	halloween	www	themselves	drive	october	site	dog	games	plus	known	tired	hold	smile	currently	monday	office	learning	eating	track	catch
Kei Kei's Random Observation	2	0	2	0	0	0	1	1	0	0	1	2	0	1	0	0	0	1	2	0	5	1	0	2	0	0	0	0	0	1	0	2	1	1	1	0	1	0	1	2	0	1	0	1	0	0	1	1	0	0	1	3	0	2	0	0	0	0	2	0	2	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	3	3	0	0	0	1	0	1	0	1	2	0	2	0	0	0	0	3	1	0	1	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	1	0	0	0	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	3	1	0	3	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	3	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
the saige page	5	1	0	4	2	2	0	2	0	1	3	1	1	2	1	1	1	4	3	4	4	3	0	5	0	0	1	0	2	5	1	1	2	2	4	2	2	0	2	1	0	1	1	2	0	12	6	0	1	2	2	0	3	1	9	1	0	1	2	1	1	1	2	5	3	14	3	0	1	0	1	3	1	1	7	3	0	0	0	0	0	1	0	0	4	1	0	3	1	1	0	0	2	0	0	0	0	2	3	2	0	2	0	1	0	1	2	0	2	0	0	0	1	0	3	9	0	0	1	1	3	1	0	0	4	0	0	2	1	1	1	4	2	0	6	1	1	1	3	2	1	1	0	1	2	2	0	1	2	2	0	1	1	1	0	2	0	2	6	2	3	0	3	1	2	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	5	1	2	1	0	1	0	3	0	5	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	1	1	2	1	1	0	0	4	0	0	1	0	2	0	1	1	0	3	1	1	0	0	0	0	3	0	5	0	0	1	0	2	0	0	4	1	1	3	0	1	2	0	0	0	1	0	2	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	3	0	1	0	0	0	0	2	0	0	4	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	1	0	2	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	2	2	1	3	0	1	0	0	1	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	2	0	3	0	0	0	2	2	0	2	0	0	1	0	0	0	0	0	2	3	1	0	1	1	0	1	0	1	0	0	0	0	3	0	2	1	0	0	0	1	1	1	3	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	3	0	1	3	0	2	0	0	0	0	2	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0
Neo2000---The 5yr Admission Planner	3	5	3	2	1	1	1	4	0	1	1	4	2	9	1	3	4	1	0	2	0	2	3	1	17	1	1	0	0	2	1	0	1	1	2	2	1	0	2	0	0	1	2	1	1	0	1	0	11	2	0	5	1	3	0	0	0	0	2	1	0	0	0	0	3	0	1	2	1	0	1	2	1	3	2	0	0	2	2	3	1	0	3	0	0	1	2	1	0	0	0	3	1	2	0	0	3	0	0	0	0	0	0	0	0	2	3	1	1	3	2	2	4	0	0	0	0	2	1	1	1	0	1	3	0	0	1	0	2	0	3	0	0	0	0	1	1	1	2	1	0	1	0	0	0	0	1	6	0	0	0	1	0	0	0	1	2	2	0	1	0	1	0	1	1	0	1	2	0	1	0	1	0	1	0	0	3	0	4	0	0	1	0	1	0	1	4	0	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	3	2	0	1	2	3	1	0	0	0	0	1	0	0	0	1	0	3	0	4	1	1	0	1	0	1	1	2	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	1	0	1	4	0	0	0	1	1	0	0	2	0	0	2	0	1	1	1	1	0	0	0	5	2	1	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	7	2	0	0	0	0	1	3	2	6	4	0	1	0	0	0	1	0	1	0	1	1	2	2	0	1	2	0	0	1	0	0	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	0	2	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	2	1	0	0	2	0	0	0	0	0	1	0	1	0	5	2	1	0	0	1	0	1	1	1	0	0	0	0	2	4	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	2	2	0	0	2	0	0	0	0	0	0	1	0	0	1	2	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	3	1	3	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	1	1	5	0	1	0
North by East West	0	0	0	1	1	1	1	0	2	2	2	0	3	0	0	2	3	1	1	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	3	7	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2	2	0	1	1	4	0	1	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	1	1	0	2	0	0	0	1	1	0	1	0	0	1	0	1	0	0	2	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	1	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	3	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	8	0	2	0	0	1	0	1	0	0	0	3	0	0	0	1
The STA Official Label Blog Of Thoughts And Stuff	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	1	3	2	1	0	2	2	2	0	0	1	0	0	0	1	0	0	0	0	0	2	2	2	1	0	0	0	0	0	0	0	4	3	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	4	2	0	0	0	0	0	2	1	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	4	4	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
blackcherry	1	3	1	5	9	6	2	4	2	1	6	5	10	2	3	7	3	3	0	3	0	2	1	2	0	0	1	5	3	0	2	2	1	3	8	4	4	4	11	3	0	2	8	1	2	16	3	2	43	7	0	1	0	3	2	3	0	2	0	0	3	0	1	1	1	0	0	6	1	5	0	3	3	0	12	1	9	8	3	4	1	0	5	2	3	3	0	1	0	0	0	8	1	2	4	0	0	0	1	2	0	0	3	1	0	1	1	2	1	0	0	4	0	1	3	1	3	0	1	0	1	1	2	1	0	1	2	0	0	4	1	3	0	0	0	2	3	0	0	0	1	5	3	0	0	1	0	2	8	0	1	0	2	1	1	1	0	3	2	1	0	0	3	2	1	0	4	2	0	1	0	1	0	1	1	0	2	1	1	3	0	0	1	1	5	0	4	2	0	0	0	2	0	0	4	0	1	2	1	0	0	8	0	0	1	2	0	0	0	1	0	2	0	1	2	0	1	0	0	1	0	0	0	0	2	2	0	1	3	2	0	0	1	0	1	0	0	0	0	0	5	0	2	2	1	1	0	1	1	1	1	2	2	0	1	1	6	1	0	0	0	1	1	0	0	1	2	0	0	0	0	0	2	1	0	1	0	5	0	1	0	0	1	0	1	1	0	0	1	2	5	1	3	0	1	3	0	0	0	0	2	1	1	0	1	0	0	1	0	2	0	1	0	1	1	0	0	0	1	0	2	0	2	0	0	1	1	1	1	3	1	0	0	4	0	0	1	3	0	1	1	2	1	0	0	6	2	0	1	0	0	4	3	1	0	0	2	1	0	0	4	1	0	1	0	0	2	0	0	0	2	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	4	1	0	1	0	3	0	0	3	0	2	0	1	3	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	0	1	0	1	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	3	19	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
simple life moments	11	1	1	3	1	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	2	0	1	1	0	0	2	0	0	2	0	0	1	2	1	1	1	1	0	1	0	0	0	0	1	0	2	4	0	1	2	1	0	1	1	0	2	3	1	0	0	2	0	2	3	1	0	0	0	0	2	0	2	0	0	2	0	1	1	0	1	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	2	1	2	0	0	1	0	0	0	0	1	0	0	0	4	0	1	2	1	3	0	0	1	0	1	1	2	0	14	0	1	1	4	1	0	0	2	0	4	0	0	0	1	0	1	0	1	1	3	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	2	1	0	0	1	0	2	0	4	0	1	0	0	0	0	2	1	0	0	1	2	0	2	0	1	0	0	0	0	0	1	2	0	2	3	0	1	0	0	1	0	0	5	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	0	1	3	2	0	2	0	0	0	1	2	4	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
Once upon a time, there was a young man named J Lee...	3	3	4	3	5	5	3	9	3	4	3	2	2	10	3	3	11	3	25	8	4	5	4	3	7	1	6	3	2	3	6	2	3	10	9	1	6	5	4	1	3	3	9	8	7	0	2	0	0	3	2	5	2	2	1	8	2	3	7	8	5	4	3	0	2	3	4	12	17	0	1	5	2	8	6	2	13	5	6	5	5	0	4	1	9	5	0	10	8	1	1	15	4	3	6	6	3	1	0	0	6	3	2	1	3	3	2	6	3	3	2	1	4	8	7	0	3	8	9	2	8	3	6	2	1	2	0	1	1	8	10	6	2	5	9	3	4	1	2	7	4	5	1	2	1	2	1	0	1	1	6	1	11	1	1	4	4	7	7	0	1	2	3	2	3	0	3	0	3	1	2	1	0	2	0	2	1	1	2	1	0	8	6	1	1	0	3	4	0	26	15	1	1	2	5	0	1	3	3	1	2	2	5	1	4	7	1	5	2	8	5	6	1	0	1	1	1	1	0	0	0	0	3	0	4	5	12	2	5	4	1	0	6	0	2	3	2	3	2	0	0	2	5	1	2	0	3	6	4	1	3	0	0	1	0	1	0	2	2	0	1	2	6	2	0	2	2	3	6	4	1	1	5	9	0	4	5	6	3	4	3	4	1	1	1	1	3	3	8	4	1	2	1	0	2	5	4	0	2	3	1	0	1	0	5	3	8	0	1	2	3	4	0	3	3	5	1	0	0	1	1	1	5	0	2	0	0	3	8	9	0	4	3	0	1	0	1	3	0	2	5	2	7	0	0	3	0	0	7	1	0	3	1	1	1	3	0	0	2	9	8	4	0	2	1	0	1	3	11	1	2	2	7	1	2	2	4	1	3	1	3	0	2	1	0	0	3	5	1	2	1	1	4	0	6	0	2	3	1	1	5	0	1	1	0	1	0	3	2	0	2	0	0	2	0	3	0	0	0	1	1	0	2	7	0	2	1	2	0	3	3	5	1	0	1	2	1	0	3	0	2	6	0	0	1	0	2	1	2	3	4	4	1	1	2	0	2	2	0	1	4	0	0	0	1	0	1	2	1	2	0	1	6	0	1	0	0	1	4	1	0	1	0	4	0	1	1	0	2	0	7	1	6	0	1	3	0	0	0	0
Confessions Of A Flabby Ironman	3	2	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	5	1	0	2	2	1	0	2	0	2	0	2	3	0	0	1	1	2	0	5	0	0	0	0	0	1	1	4	0	1	0	0	0	1	1	1	0	0	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	3	2	4	1	0	1	1	1	3	0	1	0	0	1	3	0	2	0	1	0	0	0	0	0	2	3	0	1	0	0	1	4	0	1	0	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	3	0	0	0	1	0	5	0	0	3	1	0	2	2	0	2	2	2	0	5	0	0	0	2	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0	0	1	1	1	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	1	0	0	6	2	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	2	1	1	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	2	0	1	0	3
My life is like a fArt!	0	2	2	0	3	1	8	2	2	0	3	9	1	2	2	2	3	5	3	2	3	0	3	4	0	5	5	7	1	1	2	1	2	3	0	1	4	10	11	7	14	6	3	2	5	15	3	0	0	4	2	4	0	3	1	0	3	1	4	2	1	4	2	1	0	1	0	3	0	1	4	7	2	4	4	0	1	0	3	2	2	3	6	2	5	3	0	0	2	4	1	0	0	0	1	2	0	0	0	7	0	1	0	0	0	1	0	0	0	2	0	5	0	3	7	0	1	2	2	2	0	4	1	0	0	1	1	3	1	0	0	0	0	7	1	0	1	4	2	0	0	6	1	0	4	0	0	3	0	3	2	2	1	0	1	1	3	3	2	0	2	6	2	5	0	1	3	3	1	7	3	2	0	0	1	1	0	3	1	0	1	2	0	2	4	0	3	2	0	0	0	7	2	3	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	2	0	4	3	8	2	0	3	1	1	1	0	2	0	1	0	1	1	3	1	4	2	0	0	1	3	5	1	1	1	0	0	0	0	1	1	2	0	0	0	0	0	0	2	1	4	0	0	4	0	0	2	2	1	3	1	4	1	0	0	1	2	0	1	2	0	0	0	0	0	0	19	0	0	0	1	1	1	3	0	2	1	0	0	3	5	0	1	3	0	0	3	1	1	3	0	2	2	2	0	4	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	4	0	1	0	5	0	0	0	2	0	0	1	0	19	2	1	1	3	1	0	0	0	0	0	1	1	2	3	3	1	0	0	0	2	1	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	11	2	1	2	1	0	1	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	0	1	0	0	0	2	1	0	1	0	0	2	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	3	0	0	1	0	0	0	1	2	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	1	0	0	1	0	2	2	1	0	0	0	0	0	1	1	0	0	0	0	8	0	1	1	0	0	2	0	0	3	0	1	1
The Happiest Activist	3	2	2	0	0	0	2	2	2	1	6	1	1	5	1	2	2	3	3	0	1	1	4	5	0	4	6	11	3	5	3	0	1	8	0	1	3	3	1	0	20	5	3	1	2	0	4	3	1	0	0	0	4	1	0	1	0	2	1	4	1	3	2	5	1	6	10	3	3	4	1	3	1	1	1	2	4	0	5	0	2	3	4	4	2	2	3	0	2	2	2	5	1	0	0	0	0	5	0	1	5	2	1	2	0	1	3	3	5	3	2	2	0	10	0	0	2	0	1	0	3	0	3	2	0	1	1	0	1	4	0	1	0	5	3	3	2	1	2	3	7	2	1	1	1	3	1	4	4	2	5	1	3	0	3	0	2	2	1	1	1	3	0	3	0	0	1	0	2	0	1	0	1	4	2	2	2	1	0	1	1	7	0	0	2	2	1	0	4	5	1	0	2	1	1	6	4	1	0	6	0	1	0	0	2	3	0	0	8	5	1	3	2	0	1	0	8	1	6	0	1	5	2	0	1	1	0	0	0	0	0	1	5	3	3	2	2	0	0	1	0	1	3	2	1	0	0	1	1	1	1	3	2	2	2	1	2	2	1	0	1	0	1	0	0	1	2	1	0	3	0	1	0	0	0	0	1	0	3	6	2	1	2	0	0	4	0	1	1	2	0	1	0	0	0	1	0	2	2	4	1	1	0	0	4	0	1	3	0	4	5	1	0	0	0	0	1	1	2	0	2	2	0	1	1	4	1	1	10	0	2	0	2	4	1	1	0	4	0	5	2	0	3	1	2	2	0	0	2	1	0	1	0	3	3	2	2	6	2	2	3	0	0	1	1	2	2	1	0	1	3	2	0	0	1	0	2	0	0	2	1	0	2	2	2	15	2	0	0	5	0	1	0	0	3	4	0	4	1	0	1	0	0	2	0	2	2	0	0	4	2	0	0	0	0	1	4	0	4	0	0	1	1	1	1	1	0	2	2	4	2	0	1	3	0	0	1	3	0	0	0	3	2	1	0	4	1	4	0	0	0	2	2	2	1	0	0	0	2	0	0	0	1	3	1	0	1	0	2	0	2	0	0	0	0	1	1	8	1	2	0	0	1	1	0	0	0	0	0	1	2	1	0	0	1	2	0	0	3	0
beautifulnoise/skin	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	648	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0
